Compound,Year,CASN,AcuteFish,ChronicFish,AcuteInvert,ChronicInvert,AcuteNonvascularPlants,AcuteVascularPlants,MaxConcAquaticLifeCriteriaCMC,ContinuousConcAquaticLifeCriteriaCCC
1-Naphthalene acetic acid (NAA),2015,86-87-3,14000,,90000,,,,,
1-Naphthalene acetic acid ammonium salt,2015,25545-89-5,,,,,14900,,,
1-Naphthalene acetic acid ethyl ester,2015,2122-70-5,1340,,2840,,,,,
1-Naphthalene acetic acid potassium salt,2015,15165-79-4,,,,,,5100,,
"2,4-D",2014,94-75-7,,,12500,,,,,
"2,4-D acids and salts",,94-75-7,12075,14200,12500,16050,3880,13.1,,
"2,4-D esters",,,130,79.2,1100,200,66,330,,
"2,4-D, 2-ethylhexyl ester",2014,1928-43-4,,79.2,1700,,152,330,,
"2,4-D, Butoxyethyl ester",2014,1929-73-3,214,,,200,,,,
"2,4-D, Diethanolamine salt",2014,5742-19-8,> 40800,,,16050,,299.2,,
"2,4-D, Dimethylamine salt",2014,2008-39-1,139000,23600,,,3880,,,
"2,4-D, Isopropyl ester",2014,94-11-1,130,,1100,,,,,
"2,4-DB",,94-82-6,1000,,7500,,932,,,
"2,4-DB-DMAS",,2758-42-1,1567,,10150,,,,,
"3, 6-dichlorosalicylic acid (DCSA)",,3401-80-7,> 50000,,44500,,138000,> 73000,,
3-chloroacrylic acid degradate of Telone,,,34750,,27500,,430,220,,
3-chloroallyl alcohol degradate of Telone,,,493,,1150,,32900,1694,,
3-Trifluoromethyl-4-Nitrophenol (TFM),2013,88-30-2,300,,1900,,1200,,,
Abamectin,2014,71751-41-2,1.6,0.52,0.17,,> 100000,3900,,
Acephate,,30560-19-1,416000,5760,550,150,> 50000,,,
Acequinocyl,,57960-19-7,33500,520,1.2,0.98,960,,,
Acetaminophen,2015,103-90-2,,,14750,,,,,
Acetamiprid,2013,135410-20-7,> 50000,19200,10.5,2.1,> 1000,> 1000,,
Acetic acid,2016,64-19-7,151500,,32500,,,844300,,
Acetochlor,,34256-82-1,190,130,4100,22.1,1.43,3.4,,
Acetochlor degradate ethanesulfonic acid (ESA),,187022-11-3,> 90000,,> 62500,,9900,,,
Acrolein,,107-02-8,7,11.4,> 15.5,7.1,28,72,3,3
Alachlor,,15972-60-8,900,187,1250,110,1.64,2.3,,
Alachlor ethane sulfonic acid,,,> 52000,,> 52000,,,,,
Alachlor oxanilic acid,,,> 500000,,> 47500,,,,,
Aldicarb,,116-06-3,26,0.46,10,1,> 5000,,,
Aldicarb sulfone,,1646-88-4,21000,,140,,,,,
Aldicarb sulfoxide,,1646-87-3,3570,,21.5,,,,,
Aliphatic Oils- 100 Paraffine Oil,,64742-54-7,> 50000,,205,,,,,
Aliphatic Oils- 70 Orchard Spray,,64742-55-8,,,1200,,,,,
Aliphatic Oils- 90 Neutral Oil,,8012-95-1,> 50000,,10,,,,,
Aliphatic Oils- GB-1111,,,> 60000,,50,,,,,
Aliphatic Oils- N65DW,,,> 250000000,,,,,,,
Aliphatic Oils- VHVI-4,,,> 38000,,< 450,,,,,
Allethrin,2015,584-79-2,,,1.05,,,,,
Alpha-cypermethrin,2014,67375-30-8,1.1,0.14,0.0018,0.00059,> 33.5,> 1.39,,
Alpha-cypermethrin degradate (3-phenoxybenzoic acid) 3-phenoxybenzoic acid,2014,,6650,,44500,,,,,
Aluminum Phosphide,2014,20859-73-8,,,,,,,,
Ametryn,2014,834-12-8,1800,700,14000,240,3.67,13,,
Aminocyclopyrachlor acid,2013,858956-08-8,> 60000,11000,19850,< 370,7400,> 122000,,
Aminocyclopyrachlor ester,2013,,6500,,9950,,,,,
Aminopyralid,2015,150114-71-9,> 50000,1360,7500,102000,18000,> 88000,,
Amitraz,,33089-61-1,170,> 1.5,17.5,1.1,,,,
Amitraz BTS 27271,,33089-61-1,14200,,1295,,,,,
Amitraz BTS 27919,,33089-61-1,33100,,> 50000,,,,,
Ammonium Salts of Fatty Acids,2016,,6000,,13500,23000,6600,200000,,
Ancymidol,2014,12771-68-5,,,> 48200,,,292,,
Antimycin A,,1397-94-0,0.0045,,0.004,,,,,
Arsenic Acid,2014,7778-39-4,25000,,7500,,9.2,> 9800,,
Arsenic Trioxide,2014,1327-53-3,12800,,,,,,,
Asulam sodium,,2302-17-2,> 87500,,13550,,180,140,,
Atrazine,2014,1912-24-9,2650,5,360,60,< 1,4.6,,
Azinphos methyl,,86-50-0,0.18,0.055,0.08,0.036,,,,
Azoxystrobin,,131860-33-8,235,147,130,44,49,3400,,
Benfluralin,,1861-40-1,34.85,1.9,1090,15.5,> 100,,,
Bensulide,,741-58-2,360,374,290,,1500,,,
Bentazon,,25057-89-0,> 50000,,> 50000,,4500,5350,,
"Bentazon, sodium salt",,50723-80-3,> 50000,,31150,,60,5350,,
Benzovindiflupyr,2016,1072957-71-1,1.75,0.95,42.5,5.6,240,> 880,,
Benzovindiflupyr degradate M700F001,2016,1072957-71-1,> 44050,,> 49100,,,,,
Benzovindiflupyr degradate SYN546039,2016,1072957-71-1,1250,,2725,,> 6400,,,
Bicyclopyrone,2016,352010-68-5,> 46700,10000,> 46650,103700,2000,13,,
"Bicyclopyrone degradate CSAA589691 ((1S,3R)-cyclopentane-1,3-dicarboxylic acid)",2016,876-05-1,,,,,,> 90280,,
"Bicyclopyrone degradate CSCC163768 (6-(trifluoromethyl)pyridine-2,3-dicarboxylic acid)",2016,90376-94-6,,,,,,> 100250,,
Bifenazate,2014,149877-41-8,290,,250,150,890,> 3820,,
"Bifenazate degradate 2-[4-methoxy(1,1?-biphenyl)-3-yl],1-methylethyl ester (D3598)",2014,149877-41-8,22,,25.5,,780,,,
Bifenazate degradate 4-methoxybiphenyl (D1989),2014,149877-41-8,,,125,,,,,
"Bifenazate degradate [1,1?-Biphenyl]-3,4-diol (D9472)",2014,149877-41-8,115,,390,,710,,,
Bifenthrin,,82657-04-3,0.075,0.04,0.8,0.0013,,,,
Bioallethrin,2015,584792,4.7,,,,,,,
Bispyribac-sodium,2015,125401-92-5,> 51000,9200,> 49600,,250,12,,
Boric Acid Salts,,10043-35-3,> 400000,,66500,,,,,
Boscalid,2015,188425-85-6,1350,116,< 2665,790,1340,> 3900,,
Bromacil,,314-40-9,18000,3000,60500,8200,6.8,45,,
Bromoxynil,2014,1689-84-5,,,,,,,,
Bromoxynil Heptanoate,2014,56634-95-8,14.5,,15.5,,,219,,
Bromoxynil Octanoate,2014,1689-99-2,,18,5.5,2.5,51,,,
Bromoxynil phenol,,1689-84-5,1050,,9610,,,,,
Butylate,,2008-41-5,105,,5950,,,,,
Cacodylate Acid,2014,75-60-5,8500,,9050,,,30900,,
Captan,2014,133-06-2,13.1,16.5,4200,560,320,> 12700,,
"Captan degradate (1,2,3,6-Tetrahydrophthalimide)",2014,1469-48-3,> 60000,,> 56500,,> 181000,,,
Captan degradate (tetrahydrophthalimic acid),2014,,> 63000,,,,,,,
Carbaryl,,63-25-2,110,6,0.85,0.5,660,1500,2.1,2.1
Carbofuran,,1563-66-2,44,5.7,1.115,0.75,,,,
Carboxin,,5234-68-4,600,,42200,,370,670,,
Chlorantraniliprole,,500008-45-7,> 600,110,4.9,4.5,1800,2000,,
Chlorfenapyr,,122453-73-0,3.72,3.68,2.915,3.57,,,,
Chlorfenapyr Metabolite CL303094,,,,,280,,,,,
Chlorfenapyr Metabolite CL303195,,,,,850,,,,,
Chlorfenapyr Metabolite CL303267,,122454-23-3,35,,53.5,,,,,
Chlorfenapyr Metabolite CL312094,,122453-73-0,> 464,,,,,,,
Chlorfenapyr Metabolite CL325195,,122453-73-0,1050,,,,,,,
Chlorflurenol methyl ester,,2536-31-4,,,,,,,,
Chlormequat chloride,,999-81-5,> 50000,,8450,5000,> 207000,2800,,
Chloropicrin,2014,76-06-2,5.5,,60,,,6.5,,
Chlorothalonil,,1897-45-6,5.25,3,1.8,0.6,6.8,630,,
Chlorothalonil degradate (SDS-3701),,,4600,,13000,,33700,,,
Chlorpyrifos,,2921-88-2,0.9,0.57,0.05,0.04,140,,0.083,0.041
Chlorpyrifos-methyl,,5598-13-0,7,,0.085,,,,,
Chlorsulfuron,2014,64902-72-3,> 150000,32000,> 185000,20000,50,0.35,,
Chromated Arsenicals,2014,,,,,< 0.95,,,,
Clethodim,2015,99129-21-2,12200,2,10100,940,2700,1340,,
Clodinafop-propargyl,2014,105512-06-9,120,,> 1000,,3000,> 2400,,
Clodinafop-propargyl Degradate (CGA-193469),2014,114420-56-3,,,> 4600,2600,,,,
Clodinafop-propargyl Degradate (CGA-302371),2014,514797-96-7,> 47700,,> 49450,,30600,,,
Clofentezine,2015,74115-24-5,> 17.1,6,> 17.1,44,> 34.2,,,
Clomazone,,81777-89-1,1450,350,2700,2200,167,30200,,
Clopyralid,,1702-17-6,984000,,56500,,,,,
Clothianidin,2013,210880-92-5,> 50750,9700,11,1.1,64000,121000,,
Copper,,7440-50-8,15.7,9.01,2.05,1.11,3.1,2300,,
Coumaphos,2014,56-72-4,140,11.7,0.037,0.0337,,,,
Cyantraniliprole,2014,736994-63-1,> 5000,10700,10.2,6.56,> 10000,12100,,
Cyazofamid,2013,120116-88-3,> 53.5,90.1,> 650,< 87,,> 1220,,
Cycloate,,1134-23-2,2250,,1300,,,,,
Cyflumetofen,2015,400882-07-7,> 8.75,31.6,> 8.6,16.2,> 23.8,> 38.3,,
Cyflumetofen degradate A-2 (4-tert-Butylphenyl-acetonitrile),2015,3288-99-1,3545,,5260,,,,,
Cyflumetofen degradate AB-1,2015,,,,,34200,,,,
Cyflumetofen degradate AB-1 dimer,2015,,,,,5.61,,,,
"Cyflumetofen degradate AB-11 (Benzenepropanoic acid,a-cyano-a-[4-(1,1-dimethylethyl)phenyl]-b-oxo-2-(trifluoromethyl)-,1-methylethyl ester)",2015,400882-00-0,,,,,> 483,,,
Cyflumetofen degradate B-1 (2-(trifluoro methyl) benzoic acid),2015,433-97-6,> 48950,,> 88750,,> 102700,,,
Cyflumetofen degradate B-2,2015,400882-07-7,,,> 10,,,,,
Cyfluthrin,2013,68359-37-5,0.034,0.01,0.0125,0.0074,> 181,,,
"Cyfluthrin, beta",2013,68359-37-5,0.034,,0.145,,,,,
Cyhalofop-butyl,2015,122008-85-9,> 245,134,> 292,47.4,890,,,
Cyhalofop-butyl degradate Cyhalofop-acid,2015,122008-78-0,> 49600,,> 50000,,> 78200,,,
Cyhalofop-butyl degradate Cyhalofop-amide,2015,122008-85-9,> 44200,,> 50000,,50000,,,
Cyhalofop-butyl degradate Cyhalofop-diacid,2015,122008-85-9,> 47700,,> 47950,98300,> 96400,,,
Cyhalofop-butyl degradate FHPBA,2015,122008-85-9,,,> 200,,> 400,,,
Cyhalofop-butyl degradate HPPA,2015,122008-85-9,,,> 200,,> 400,,,
Cyhexatin,,13121-70-5,,,,,,,,
Cypermethrin,,52315-07-8,0.195,0.14,0.21,0.069,,,,
Cyphenothrin,,39515-40-7,0.17,,0.215,,,,,
Cyprodinil,,121552-61-2,1205,230,16,8,2250,,,
Cyromazine,2015,66215-27-8,> 42000,73000,> 44350,310,124000,,,
Cyromazine degradate Melamine,2015,108-78-1,> 60000,500000,30000,18000,940000,,,
Dacthal (DCPA),,1861-32-1,15000,,13500,,> 11000,> 11000,,
Daminozide,,1596-84-5,224000,,35500,,> 99800,,,
Dazomet,2014,533-74-4,,,,,,,,
Dazomet degradate (Methyl Isothiocyanate),2014,556-61-6,26.5,,27.5,25,200,590,,
"DEET (N,N-diethyl-m-toluamide)",2015,134-62-3,37500,,37500,,,,,
Deltamethrin,,52918-63-5,0.29,0.017,0.055,0.0041,,,,
Denatonium Benzoate,2015,3734-33-6,> 500000,,5100,2000,5000,,,
Diazinon,,333-41-5,45,< 0.55,0.105,0.17,3700,,0.17,0.17
Dicamba acid,,1918-00-9,14000,,> 50000,,61,> 3250,,
"Dicamba, dimethylamine salt",,2300-66-5,488500,,781500,,,,,
"Dicamba, sodium salt",,1982-69-0,253600,,17300,,,,,
Dichlobenil,,1194-65-6,2465,< 330,1850,560,1000,30,,
"Dichloroprop (2,4-DP)",2013,120-36-5,,,,,,,,
Dichlorvos (DDVP),,62-73-7,91.5,5.2,0.035,0.0058,14000,,,
Diclofop-methyl,2015,51338-27-3,75,7.5,185,64,,1295,,
Diclofop-methyl degradate Diclofop Acid,2015,40843-25-2,10950,,,,,,,
Dicofol,,115-32-2,26.5,4.4,70,19,> 5000,,,
Dicrotophos,2015,0000141-66-2,2850,9880,6.3,1.7,> 118000,> 117000,,
Difenacoum,,56073-07-5,32,,305,,320,,,
Difenoconazole,2013,119446-68-3,405,8.7,385,5.6,98,1900,,
Difenzoquat methyl sulfate,,43222-48-6,23250,,1265,,630,120,,
Difethialone,,104653-34-1,25.5,,2.2,,,,,
Diflubenzuron,,35367-38-5,64500,100,0.0014,0.00025,200,190,,
Dikegulac sodium,2015,52508-35-7,> 60500,,> 5000000,,100000,9600,,
Dimethenamid,,87674-68-8,3150,300,6000,1020,14,8.9,,
Dimethoate,,60-51-5,3100,430,21.5,0.5,84,,,
Dimethomorph,2014,110488-70-5,3100,< 341,> 5300,110,,,,
Dinotefuran,2013,165252-70-0,> 49550,> 6360,> 484150,> 95300,> 97600,> 110000,,
Dinotefuran degradate dn phosphate,2013,,,,> 55300,,> 100400,,,
Dinotefuran degradate MNG,2013,,,,,,> 98700,,,
Diquat Dibromide,,85-00-7,7400,122,385,< 36,9.4,0.75,,
Disulfoton,,298-04-4,19.5,4,1.95,0.01,,,,
Disulfoton sulfone,,6/5/2497,> 4600,,17.5,0.14,,,,
Disulfoton sulfoxide,,7/6/2497,30000,,32,1.53,,,,
Dithiopyr,2015,97886-45-8,235,56,> 850,81,20,,,
Diuron,,330-54-1,200,26.4,80,200,2.4,15,,
Dodine,,10/3/2439,285,99,8.9,7.3,0.95,,,
Dyes + Acids,,,> 48000,> 96000,> 48500,,,,,
Endosulfan,,115-29-7,0.05,0.11,0.3,0.01,428,,0.22,0.056
Endosulfan sulfate,,1031-07-8,1.9,,150,,,,,
Endothall (acid),,145-73-3,24500,1300,46000,< 2200,,,,
Endothall (dipotassium salt),,2164-07-0,4576,1790,31900,,,610,,
"Endothall (N,N-dimethylalkylamine salt)",,66330-88-9,7.5,56,6,2.3,2.3,740,,
EPN,2013,2104-64-5,,,,,,,,
EPTC (S-Ethyl dipropylthiocarbamate),2014,759-94-4,7000,,3250,800,1400,5600,,
Esbiol,2015,28434-00-6,3.9,,,,,,,
Esbiol (s-bioallethrin),,28434-00-6,3.95,,,,,,,
Esbiothrin,2015,584792,,,4.45,,,,,
Esfenvalerate,,66230-04-4,0.035,0.035,0.025,0.017,,,,
Ethaboxam,2015,162650-77-3,1090,880,185,50,> 3600,,,
Ethalfluralin,,55283-68-6,16,0.4,30,24,25,,,
Ethephon,,16672-87-0,44000,,15850,17000,23500,2500,,
Ethion,2013,563-12-2,,,,,,,,
Ethofumesate,2013,26225-79-6,8750,2560,147000,300,> 2760,,,
Ethoprop,,13194-48-4,150,24,22,0.8,8400,,,
Ethoxyquin,2015,91-53-2,9000,,1000,,,,,
Etofenprox,,80844-07-1,1.35,23,0.4,0.17,> 18.8,> 26,,
Etoxazole,2015,153233-91-1,> 185,15,3.65,0.13,> 51.9,> 56,,
Etoxazole degradate 2-amino-2-(4-tert-butyl-2-ethoxyphenyl)ethanol (R-8),2015,153233-91-1,> 440,,> 700,,,,,
"Etoxazole degradate 2-amino-2-(4-tert-butyl-2-ethoxyphenyl)ethyl-2' ,6'-difluorobenzoate hydrochloride (R-7)",2015,153233-91-1,,,> 370,,> 990,,,
"Etoxazole degradate 4-(4-tert-Butyl-2-ethoxyphenyl)-2-(2,6-difluorophenyl)-oxazole (R-13)",2015,153233-91-1,> 370,,> 365,,> 1000,,,
"Etoxazole degradate N-(2,6-Difluorobenzoyl)-2-amino-2-(4-tert-butyl-2-ethoxyphenyl) ethane (R-4)",2015,153233-91-1,,,> 650,,,,,
"Etoxazole degradate N-(2,6-Difluorobenzoyl)-4-tert-butyl-2-ethoxybenzamide (R-3)",2015,153233-91-1,> 400,,> 275,,> 1000,,,
Etridiazole (Terrazol),2015,2593-15-9,605,120,1540,370,72,8120,,
"Etridiazole degradate 3-DCMT (5-ethoxy-3-dichloromethyl-1,2,4-thiadiazole)",2015,2593-15-9,385,,550,,,,,
ETU (common degradate of Mancozeb and Maneb),,.,> 251000,37320,134500,2,,,,
Fenamidone,2015,161326-34-7,370,4.7,24.5,12.5,70,> 880,,
"Fenamidone degradate RPA-410193 ((5S)-5-Methyl-5-phenyl-3-(phenylamino)-2,4-imidazolelidinedione) (phenylamino)-2,4-imidazolidinedione",2015,332855-88-6,,,> 2750,,,,,
"Fenamidone degradate RPA-412636 ((S)-Methyl-5-phenylimidazolidine-2,4- dione)",2015,27539-12-4,> 8600,,> 48600,,17300,,,
"Fenamidone degradate RPA-412708 ((5S)-3,5-dihydro-5-methyl-2-(methylthio)-5-phenyl-4H-imidazole-4- one)",2015,332855-82-0,> 49000,,> 50400,,> 18700,,,
"Fenamidone degradate RPA-413255 ((5S)-3,5-5-methyl-2-(methylthio)-3-[(2- nitrophenyl)amino]-5-phenyl-4Himidazole- 4-one)",2015,161326-34-7,> 1000,,4850,,,,,
Fenamiphos,,22224-92-6,4.75,3.8,0.95,0.12,,,,
Fenarimol,,60168-88-9,450,180,3400,113,100,,,
Fenbutatin- oxide,,13356-08-6,0.85,0.31,15.5,16,,,,
Fenhexamid,2014,126833-17-8,670,101,> 9400,1000,4820,> 2300,,
Fenitrothion,,122-14-5,860,46,1.15,0.087,,,,
Fenoxaprop-ethyl,2015,66441-23-4,155,,1590,560,650,,,
Fenoxaprop-p-ethyl,,71283-80-2,155,22,> 529,,430,> 3000,,
Fenoxaprop-p-ethyl (AE F046360),2015,71283-80-2,230,44,> 550,230,430,> 3000,,
Fenoxaprop-p-ethyl degradate AE F054014 (Chlorobenzoxazolone),2015,95-25-0,> 5000,,3300,,7500,,,
Fenoxaprop-p-ethyl degradate AE F088406 (Fenoxaprop-p acid),2015,71283-80-2,> 34400,1800,7100,340,44000,,,
Fenoxaprop-p-ethyl degradate AE F096918,2015,71283-80-2,159000,31000,> 92800,< 310,14000,,,
Fenoxycarb,,72490-01-8,800,48,200,0.0016,,,,
Fenpropathrin,,39515-41-8,1.1,0.091,0.265,0.064,,,,
Fenpyrazamine,2014,473798-59-3,2600,370,2750,340,11,1100,,
Fenpyrazamine degradate- 2-Cyano-N-isopropyl-2-(otolyl)acetamide (MCNI),2014,,,,> 25000,,,,,
Fenpyrazamine degradate- 5-Amino-2-isopropyl-4-(o-tolyl)-1H-pyrazol-3-one(S-2188-DC),2014,,> 44500,,> 47000,,32000,,,
Fenpyrazamine degradate- 5-Amino-4-hydroxy-2-isopropyl-4-(o-tolyl)pyrazol-3-one(S-2188-OH),2014,,> 48500,,> 49000,,55000,,,
Fenpyroximate,2015,134098-61-6,0.365,0.016,1.8,< 0.17,0.66,> 190,,
"Fenpyroximate degradate M-3 ((E)-4-[(1,3-dimethyl-5-phenoxypyrazol-4-yl)methylene-aminooxy-methyl]-benzoic acid)",2015,134098-61-6,3100,,6525,,,,,
Fenthion,,55-38-9,415,7.5,2.6,0.013,400,> 2800,,
Fipronil,,120068-37-3,41.5,6.6,0.11,0.011,140,> 100,,
"Fipronil degradate 5-amino- 1 -(2,6-dichloro-4-trifluoromethylphenyl)-3-cyano-4-trifluoro-methyl-thiopyrazole (MB45950)",,,41.5,6.6,1.065,0.11,140,> 100,,
Fipronil degradate fipronil desulfinyl (MB46513),,,10,0.59,100,10.3,140,> 100,,
Fipronil degradate fipronil sulfone (MB46136),,,12.5,0.67,0.36,0.037,140,> 100,,
Flonicamid,2015,158062-67-0,> 49000,9500,> 49500,3000,> 96700,> 119000,,
Florasulam,,145701-23-1,> 50000,119000,> 146000,38900,3.45,1.18,,
Fluazifop-p-butyl,2015,79241-46-6,225,203,2570,,,,,
Fluazifop-p-butyl degradate 5-(trifluoromethyl)-2(1H)-pyridinone (R154719),2015,33252-63-0,120000,,333000,,340000,,,
Fluazinam,2014,079622-59-6,18,0.69,90,68,1.1,,,
Flubendiamide,,272451-65-7,> 32.55,60.5,> 27.4,41.5,> 69.3,> 54.6,,
Fludioxonil,,131341-86-1,235,19,450,< 19,70,> 1000,,
Fluensulfone,2015,318290-98-1,6500,630,11000,200,22,2700,,
Fluensulfone degradate Butene Sulfonic Acid,2015,318290-98-1,> 61000,,,,> 4400,,,
Fluensulfone degradate Deschloro-Fluensulfone,2015,318290-98-1,,,,,> 4500,,,
Fluensulfone degradate Methyl Sulfone,2015,318290-98-1,17500,,,,2500,,,
Fluensulfone degradate Thiazole Sulfonic Acid,2015,318290-98-1,> 60500,,,,> 4400,,,
Flumetsulam,2014,98967-40-9,> 146500,197000,127000,111000,3.52,3.1,,
Flumiclorac-pentyl,2015,87546-18-7,> 550,,> 94.5,1880,,,,
Flumiclorac-pentyl degradate Flumiclorac acid (IMCA),2015,87547-04-4,,,,670,> 35,> 35,,
Flumioxazin,2013,103361-09-7,1150,7.7,2750,28,0.83,0.49,,
Fluometuron,,2164-17-2,320,,110,,30,220,,
Fluopicolide,2014,239110-15-7,174.5,151,> 850,190,< 1.4,> 3200,,
Fluopicolide degradate- 3-chloro-5-trifluoromethylpyridine-2-carboxylic acid,2014,239110-15-7,51000,,,,,,,
Fluopicolide degradate- BAM,2014,239110-15-7,123000,10000,92050,320000,> 10000,,,
Fluridone,,59756-60-4,2800,480,650,,,,,
Fluroxypyr,,69377-81-7,7150,,> 50000,,> 100000,,,
Fluroxypyr-MHE,2015,81406-37-3,> 315,,> 300,60.5,56,1400,,
Fluroxypyr-MHE degradate Fluroxypyr Acid,2015,69377-81-7,7150,3000,> 50000,,> 100000,,,
Flurprimidol,,56425-91-3,8600,944,5900,2960,840,10400,,
Flutolanil,2015,66332-96-5,1250,220,> 3400,530,> 800,> 8010,,
Flutriafol,2013,76674-21-0,16500,4800,33550,310,460,780,,
Folpet,2014,133-07-3,7.5,8.8,10,,,,,
Fomesafen Sodium,,108731-70-0,63000,9400,188000,50000,92,210,,
Foramsulfuron,2014,173159-57-4,> 50000,10500,> 51250,100000,3300,0.65,,
Formetanate HCl,,23422-53-9,1350,480,45,0.5,,,,
Fosamine Ammonium,,25954-13-6,188500,,762000,,> 15000,> 21000,,
Fosetyl-Aluminum,2015,39148-24-8,41700,8000,> 2500,,780,80000,,
Fosthiazate,2014,98886-44-3,55500,2320,130,61,> 4510,,,
Gamma-cyhalothrin,,76703-62-3,0.0145,,0.00024,,> 2850,,,
Glufosinate ammonium,2014,77182-82-2,> 156000,50000,325500,31000,72,1470,,
Glufosinate degradate 2-acetamido-4-methylphosphinico-butanoic acid (NAG),2014,77182-82-2,> 50450,,,,> 357000,,,
Glufosinate degradate 2-methylphosphinico-acetic acid (MPA),2014,77182-82-2,> 49450,,18500,,53000,> 97200,,
Glufosinate degradate 3-methylphosphinicopropionic acid (MPP),2014,77182-82-2,> 50000,26000,21000,< 6430,> 1000000,> 103000,,
Glufosinate degradate Methylphosphinico-formic acid (MPF),2014,77182-82-2,> 51000,,> 49100,,> 94800,,,
Glyphosate,,1071-83-6,21500,1800,26600,49900,12100,11900,,
Glyphosate degradate aminomethyl phosphoric acid (AMPA),,1066-51-9,249500,,341500,,,,,
Glyphosate isopropylamine salt,,38641-94-0,34700,,,,,,,
Hexaflumuron,2015,86479-06-3,> 127.8,,0.0555,,,,,
Hexazinone,,51235-04-2,137000,17000,75800,20000,7,37.4,,
Hexythiazox,2014,78587-05-0,> 60,,,6.1,> 120,> 120,,
Hydramethylnon (synonym: Pyrimidone),2014,67485-29-4,45,,570,,,,,
Hydrogen Cyanamide,2015,420-04-2,23000,< 507,1650,100,370,3000,,
Hymexazol,,10004-44-1,> 50000,,15400,,40900,8800,,
Imazamox,2015,114311-32-9,> 59500,,> 61000,,> 37,8,,
